id,pytanie,odpa,odpb,odpc
11,"Co oznacza wg kodu Q symbol QRM?","jestem czynny w eterze od miesiąca","odbieram twoje sygnały bardzo dobrze zmniejsz moc","mam zakłócenia od innych stacji"
12,"Co oznacza wg kodu Q symbol QRN?","jestem czynny w eterze od niedawna","mam zakłócenia atmosferyczne","pracuję na radiostacji tylko w niedzielę"
13,"Co oznacza wg kodu Q symbol QSB?","siła twoich sygnałów waha się","w okolicy jest burza, wyłączam radiostację","używam anteny dookólnej"
14,"Co oznacza wg kodu Q symbol QRV?","o której godzinie rozpoczęliśmy łączność","jestem gotów do pracy, jestem czynny w eterze","proszę powtórzyć ostatnią relację"
15,"Co oznacza wg kodu Q symbol QTH?","nie mam ochoty z tobą dalej rozmawiać","przekazuję wiadomość od…","moje położenie geograficzne jest…"
16,"Co oznacza wg kodu Q symbol QRP?","nadawaj powoli","zmniejsz moc, zmniejszam moc","powtórz swój znak wywoławczy"
17,"Co oznacza wg kodu Q symbol QTC?","wyłączam stację","na jaką częstotliwość mam się przestroić","mam dla ciebie pilną wiadomość"
18,"Co oznacza wg kodu Q symbol QSO?","moje położenie geograficzne jest…","łączność, mam łączność","siła twoich sygnałów waha się"
19,"Co oznacza wg kodu Q symbol QSL?","potwierdzam odbiór / przyślę kartę potwierdzającą łączność","nadawaj szybciej","słucham na częstotliwości"
20,"Co oznacza skrót slangu radioamatorskiego RX?","antena pionowa","odbiornik","klucz elektroniczny"
21,"Co oznacza skrót slangu radioamatorskiego Unlis?","nielicencjonowany nadawca","zakłócenia w odbiorze telewizji","zawody w łowach na lisa"
22,"Co oznacza skrót slangu radioamatorskiego YL?","antena z linki miedzianej","czas uniwersalny","panna - młoda pani"
23,"Co oznacza skrót slangu radioamatorskiego RPT?","proszę powtórzyć, powtórzę, powtarzam","proszę","przechodzę na inny kanał"
24,"Kiedy należy podawać raport o słyszalności?","na początku łączności i na życzenie korespondenta","w odstępach 5-10 minut","po każdym przekazaniu mikrofonu"
25,"Czy po uzyskaniu świadectwa operatora urządzeń radiowych można samodzielnie obsługiwać stację amatorską?","można, ale tylko pod nadzorem radioamatora posiadającego pozwolenie radiowe","można, w określonych przepisami zakresach częstotliwości","nie można, ponieważ do obsługi stacji amatorskiej upoważnia jedynie pozwolenie radiowe"
26,"Co to jest znak wywoławczy?","jest to symbol określający typ (model) stacji amatorskiej","jest to hasło pozwalające wywołać konkretnego rozmówcę","jest to kombinacja liter i cyfr stanowiąca unikalny w skali światowej identyfikator stacji amatorskiej"
27,"Czym jest LOG?","jest to dziennik stacji amatorskiej zawierający informacje o korespondencji z innymi radiostacjami amatorskimi","jest to informacja o procedurach obowiązujących podczas łączności z innymi stacjami","jest to informacja o kontroli radiostacji przez inspektorów UKE"
28,"Czy prowadzenie dziennika łączności jest obowiązkowe?","jest to podstawowy obowiązek każdego radioamatora","prowadzenie logu nie jest obowiązkowe, lecz wskazane","prowadzenie dziennika łączności może być nakazane jako zalecenie pokontrolne inspektorów ochrony środowiska"
29,"Co znaczy określenie czas uniwersalny UTC?","czas odpowiadający południkowi zerowemu (GMT), stosowany przez radioamatorów do odnotowania w Logu godz. łączności","czas w którym nie należy nawiązywać QSO","czas w którym można nawiązywać łączności z krajami europejskimi"
30,"Co to jest międzynarodowy kod Q?","zbiór symboli składających się z 3 liter, zaczynających się zawsze na literę Q, którym przypisane są proste zdanie lub słowa","symbole składające się z litery Q i 2-3 cyfr określających jakość odbieranego sygnału","wykaz zawierający prefiksy znaków wywoławczych wg ITU"
31,"Do czego służy międzynarodowy kod Q?","podania informacji o czasie rozpoczęcia łączności","skrócenia czasu nadawania informacji","informowania o sile odbieranego sygnału radiowego"
32,"Co oznacza wg kodu Q symbol QRL?","źle się czuję, odezwę się później","jestem zajęty, proszę nie przeszkadzać","do zobaczenia latem"
33,"Co oznacza wg kodu Q symbol QRT?","która jest godzina","kończę nadawanie, wyłączam stację","nadawaj wolniej"
34,"Co oznacza wg kodu Q symbol QRZ?","zmień częstotliwość na zapasową","kto mnie woła","jestem zajęty, proszę nie przeszkadzać"
35,"Co oznacza wg kodu Q symbol QRX?","proszę czekać","nadawaj wolniej","mam zakłócenia od innych stacji"
36,"Co oznacza wg kodu Q symbol QRO?","nic dla ciebie nie mam","zwiększ moc, zwiększam moc","przerwij nadawanie, kończę pracę"
37,"Który z poniższych kodów Q oznacza: Moja częstotliwość jest…?","QRJ","QRG","QRK"
38,"Który z poniższych kodów Q oznacza: Przejdź na częstotliwość, zmień częstotliwość?","QSY","QTR","QSA"
39,"Który z poniższych kodów Q oznacza: Mam zakłócenia od innych stacji?","QWO","QQQ","QRM"
40,"Który z poniższych kodów Q oznacza: Siła twoich sygnałów waha się?","QSB","QAZ","QRY"
41,"Który z poniższych kodów Q oznacza: Jestem gotów do pracy, jestem czynny w eterze?","QWX","QRV","QRU"
42,"Który z poniższych kodów Q oznacza: Moje położenie geograficzne jest…?","QLP","QRG","QTH"
43,"Który z poniższych kodów Q oznacza: Zmniejsz moc, zmniejszam moc?","QUB","QRA","QRP"
44,"Który z poniższych kodów Q oznacza: Mam dla ciebie telegram, wiadomość?","QRT","QTC","QSV"
45,"Który z poniższych kodów Q oznacza: Łączność, mam łączność?","QSL","QSO","QRS"
46,"Który z poniższych kodów Q oznacza: Potwierdzam odbiór, przyślę kartę potwierdzającą łączność?","QSL","QSA","QRT"
47,"Co oznaczają skróty slangu radioamatorskiego: BAND; CFM?","pasmo; potwierdzam","zakres; godzina","raport; popołudnie"
48,"Co oznaczają skróty slangu radioamatorskiego: BK; CALL?","później; kalibrator","przerwa; znak wywoławczy","stop; odebrałem wszystko"
49,"Co oznaczają skróty slangu radioamatorskiego: BEST; DX?","daleki; niezły","najlepszy; daleka łączność","dobry; szybki"
50,"Co oznaczają skróty slangu radioamatorskiego: BCI; BOX?","zakłócenia odbioru radiowego; skrytka pocztowa","zakłócenia od sieciowe; radiolatarnia amatorska","podaj dokładny czas; zmieniam kanał radiowy"
51,"Co oznaczają skróty slangu radioamatorskiego: OK; NAME?","stary, nie przeszkadzaj; moje nazwisko jest","wszystko w porządku; imię","przestrajam się; podaj adres"
52,"Co oznaczają skróty slangu radioamatorskiego: SWR; RX?","pasmo w metrach; antena pionowa","współczynnik fali stojącej; odbiornik","nasłuchowiec; klucz elektroniczny"
53,"Które z poniższych skrótów slangu radioamatorskiego oznaczają: Panna, młoda pani; czas uniwersalny?","YL; UTC","XYL; UT","LY; TRO"
54,"Co oznaczają skróty slangu radioamatorskiego: PSE; RPT?","proszę; powtórzyć, powtórzę, powtarzam","proszę; zmieniam pasmo o 10 kHz","przechodzę na inny kanał; raport podam na koniec łączności"
55,"Co oznaczają skróty slangu radioamatorskiego: 99; UTC?","pozdrawiam; czas ukraiński","ściskam dłoń; mam pilną wiadomość","idź precz, przepadnij; czas uniwersalny"
56,"Co oznaczają skróty slangu radioamatorskiego: LOG; DIRECT?","długa antena; dyrektor","dziennik pracy stacji; bezpośrednio","długi; bezpośredni kontakt"
57,"Co to jest raport R S stosowany podczas łączności fonicznych?","informacja o stanie technicznym radiostacji","informacja o stanie pogody przekazana w postaci zakodowanej","informacja o jakości odbieranego sygnału radiowego - czytelności i sił sygnału wyrażana w postaci cyfr"
58,"Co to jest raport R S T stosowany podczas łączności telegraficznych?","informacja o stanie technicznym radiostacji","informacja o jakości odbieranego sygnału radiowego - czytelności, siły i tonu akustycznego sygnału","informacja o stanie pogody"
59,"Co oznaczają w raporcie o słyszalności i jakości sygnałów korespondenta litery R S","R - jakość sygnału, S- słyszalność","R - stabilność sygnału, S- siła sygnału","R - czytelność, S - siła sygnału"
60,"Co oznaczają w raporcie o słyszalności i jakości sygnałów korespondenta litery R S T?","R - czytelność, S - siła sygnału, T - ton sygnału","R - jakość sygnału, S - słyszalność, T - częstotliwość","R - stabilność sygnału, S - siła sygnału, T - ton sygnału"
61,"Jaka jest skala czytelności i skala siły sygnału w raporcie R S?","skala czytelności 1-5 i skala siły sygnału 1-9","skala czytelności 1-9 i skala siły sygnału 1-5","skala czytelności 0-5 i skala siły sygnału 0-9"
62,"Co oznacza w łączności fonicznej raport 59?","dobrze czytelny, bardzo silny sygnał","czytelny, silny sygnał","słaby, czytelny z trudnościami sygnał"
63,"Co oznacza w łączności fonicznej raport 43?","dobrze czytelny, bardzo silny sygnał","czytelny, słaby sygnał","czytelny z trudnościami, słaby sygnał"
64,"Co oznacza w łączności telegraficznej raport 599?","czytelny, silny sygnał, dobry ton","dobrze czytelny, bardzo silny sygnał, bardzo dobry ton","czytelny z trudnościami, sygnał słaby, dobry ton"
65,"Co oznacza w łączności telegraficznej raport 438?","dobrze czytelny, bardzo silny sygnał, dobry ton","czytelny z trudnościami, słaby sygnał, bardzo dobry ton","czytelny, słaby sygnał, dobry ton sygnału"
66,"Co to jest okręg wywoławczy?","obszar, na którym pracuje maksimum 1000 radiostacji amatorskich","obszar odpowiadający podziałowi terytorialnemu Polski na województwa","zwyczajowo przyjęty obszar w granicach jednego lub dwóch województw"
67,"Co jest bandplan IARU?","umowny podział zakresów częstotliwości na segmenty przeznaczone dla poszczególnych rodzajów emisji lub kanały robocze, zalecany przez IARU","podział częstotliwości osobno nadawczych i odbiorczych","plan przydziału częstotliwości dla poszczególnych krajów"
68,"Transmisja prowadzona w sposób sprzeczny z bandplanem IARU jest: ","Naruszeniem prawa i może powodować utratę pozwolenia i konsekwencje karne","Jest całkowicie dopuszczalna, bandplan IARU nie ma współcześnie poważnego znaczenia","Jest dopuszczalna ale stanowi naruszenie dobrych obyczajów panujących wśród krótkofalowców"
69,"Czy na całym świecie obowiązuje ten sam bandplan wydawany przez IARU?  ","tak, krótkofalowcy na całym świecie pracują na tych samych częstotliwościach","nie, każdy kraj wydaje swój własny bandplan na podstawie zaleceń IARU","IARU zaleca odrębny bandplan dla każdego z trzech regionów z uwzględnieniem dla danego regionu zakresu częstotliwości"
70,"Bandplan IARU jest:","zaleceniem IARU","przepisem powszechnie obowiązującym","wydawaną przez IARU dyrektYwą wprowadzaną do porządku krajowego w Krajowej Tablicy Przeznaczeń Częstotliwości"
71,"Słyszysz międzynarodową łączność związaną z katastrofą, koordynację działań ratowniczych lub podobne łączności. Co zrobisz?","Zaraportujesz niedozwolone użycie pasm amatorskich do koordynatora monitoringu IARU,","Zrobisz zwykłą łączność oczekując raportu i typowych informacji,","Nie przeszkadzasz, słuchasz dalej. Jeśli jest to uzasadnione - możesz dołączyć do pomocy przy organizacji łączności"
72,"Znak stacji amatorskiej jest niepowtarzalny w skali ","świata ","regionu IARU","kraju"
73,"Pewien początkujący krótkofalowiec zakupił tani radiotelefon. Dość szybko spostrzegł że wskaźnik siły sygnału działa w nim zupełnie nieprawidłowo, a koledzy proszą o Raport R/S. Co powinien zrobić w tej sytuacji? ","bezwzględnie naprawić radiotelefon lub dokupić przystawkę mierzącą siłę sygnału ","Może podawać raporty ""na ucho"" i poinformować o tym korespondenta","nie ma żadnego powodu żeby podawać korespondentowi siłę jego sygnału jeśli słyszymy go poprawnie. "
74,"Stacja z Włoch woła ""CQ DX, CQ DX beaming pacific ocean"". Co powinien w tej sytuacji zrobić polski operator? ","natychmiast wołać! ","napisać wiadomość przy pomocy DX clastra z prośbą do stacji włoskiej o obrócenie anten ","poszukać innych chętnych do łączności gdyż ta stacja nie oczekuje teraz łączności z Europy"
75,"Czy używanie znaków wywoławczych podczas łączności jest obowiązkowe?","Nie, ale jest to ogólnie przyjęty dobry zwyczaj, pozytywnie świadczący o operatorze, pozwalający potwierdzić przeprowadzoną łączność","Tak, transmisja sygnałów bez identyfikacji jest zabroniona","Nie, można nie podawać znaków wywoławczych w krótkich łącznościach, beż żadnych konsekwencji"
