id,pytanie,odpa,odpb,odpc
15,"Jaki organ krajowy reguluje i kontroluje pracę stacji amatorskich, przeprowadza egzaminy na świadectwa operatora urządzeń radiowych i wydaje pozwolenia w służbie amatorskiej?","minister właściwy do spraw cyfryzacji","prezes Urzędu Komunikacji Elektronicznej","minister właściwy do spraw wewnętrznych"
16,"Jaki podstawowy akt prawny reguluje działalność telekomunikacyjną i radiokomunikacyjną w Polsce?","statut Urzędu Komunikacji Elektronicznej (UKE)","ustawa Prawo ochrony środowiska","ustawa Prawo telekomunikacyjne"
17,"W jakim dokumencie określone są zakresy częstotliwości przeznaczone w Polsce dla służby amatorskiej i służby amatorskiej satelitarnej?","w ustawie Prawo telekomunikacyjne","w rozporządzeniu Rady Ministrów w sprawie Krajowej Tablicy Przeznaczeń Częstotliwości","w decyzjach Prezesa Urzędu Komunikacji Elektronicznej"
18,"Czy stosowane w Krajowej Tablicy Przeznaczeń Częstotliwości określenie służba pierwszej ważności oznacza, że:","służba taka jest chroniona przed szkodliwymi zakłóceniami ze strony służb drugiej ważności","służba taka może żądać ochrony przed szkodliwymi zakłóceniami ze strony stacji tej samej lub innych służb, którym częstotliwości mogą zostać przydzielone w późniejszym terminie","służba taka może żądać ochrony przed szkodliwymi zakłóceniami ze strony stacji tej samej lub innych służb, którym częstotliwości mogą zostać przydzielone w późniejszym terminie, służba taka nie może powodować szkodliwych zakłóceń w pracy stacji służb pierwszej ważności, którym przydzielono częstotliwości lub mogą być przydzielone w późniejszym terminie"
19,"Czy stosowane w Krajowej Tablicy Przeznaczeń Częstotliwości określenie służba drugiej ważności - oznacza, że:","służba taka nie może powodować szkodliwych zakłóceń w pracy stacji służb pierwszej ważności, którym przydzielono częstotliwości lub mogą być przydzielone w późniejszym terminie","służba taka nie może powodować szkodliwych zakłóceń w pracy stacji służb pierwszej ważności, którym przydzielono częstotliwości lub mogą być przydzielone w późniejszym terminie; służba taka nie może żądać ochrony przed szkodliwymi zakłóceniami ze strony stacji służb pierwszej ważności; którym przydzielono częstotliwości lub mogą być przydzielone w późniejszym terminie; służba taka może jednak żądać ochrony przed szkodliwymi zakłóceniami ze strony stacji tej samej lub innych służb drugiej ważności, którym częstotliwości mogą być przydzielone w późniejszym terminie","służba taka może żądać ochrony przed szkodliwymi zakłóceniami ze strony stacji tej samej lub innych służb drugiej ważności, którym częstotliwości mogą być przydzielone w późniejszym terminie"
20,"Jaki dokument określa kategorie pozwoleń w służbie amatorskiej i dozwolone moce wyjściowe stacji amatorskiej?","ustawa Prawo telekomunikacyjne","rozporządzenie ministra właściwego do spraw cyfryzacji","zarządzenie Prezesa Urzędu Komunikacji Elektronicznej"
21,"Do czego upoważnia świadectwo operatora klasy A w służbie radiokomunikacyjnej amatorskiej?","do uzyskania pozwolenia amatorskiego kategorii 1 oraz kategorii 5","do uzyskania pozwolenia amatorskiego kategorii 3","wyłącznie do pracy na stacji klubowej"
22,"Do czego upoważnia świadectwo operatora klasy C w służbie radiokomunikacyjnej amatorskiej?","do uzyskania pozwolenia amatorskiego kategorii 1","do uzyskania pozwolenia amatorskiego kategorii 3","wyłącznie do pracy na stacji klubowej"
23,"Na jaki okres czasu wydawane są indywidualne pozwolenia amatorskie kategorii 1 i 3?","10 lat","15 lat","dożywotnio"
24,"Na jaki okres czasu wydawane są pozwolenia amatorskie kategorii 5?","5 lat","10 lat","15 lat"
25,"Jaka jest maksymalna moc wyjściowa stacji amatorskiej w przypadku pozwolenia kategorii 1?","50 watów","500 watów","250 watów"
26,"Jaka jest maksymalna moc wyjściowa stacji amatorskiej w przypadku pozwolenia kategorii 3?","15 watów","100 watów","150 watów"
27,"Jaka jest moc maksymalna wyjściowa stacji amatorskiej w przypadku pozwolenia kategorii 5?","50 watów dla nadajnika poniżej 30 MHz a 15 watów dla nadajnika powyżej 30 MHz","50 watów","150 watów"
28,"Jaka jest maksymalna moc wyjściowa radiostacji w przypadku pozwolenia dodatkowego?","500 watów","1000 watów","1500 watów"
29,"W jakich zakresach krótkofalowych może pracować operator posiadający pozwolenie kategorii 1?","3500 - 3800 kHz oraz 7000 - 7300 kHz","7000 - 7100 kHz oraz 28000 - 29900 kHz","we wszystkich zakresach częstotliwości przeznaczonych dla służby radiokomunikacyjnej amatorskiej na terytorium RP"
30,"W jakich zakresach częstotliwości może pracować operator posiadający pozwolenie kategorii 3?","28000-29900 kHz oraz 144-146 MHz","1,81-2 MHz; 3,5-3,8 MHz; 7-7,2 MHz; 14-14,35 MHz; 21-21,45 MHz; 28-29,7 MHz, 144-146 MHz; 430-440 MHz oraz 10-10,5 GHz","28000-29900 kHz oraz 430-440 MHz"
31,"Jakimi rodzajami emisji radiowych wolno pracować operatorowi w służbie amatorskiej w zakresie częstotliwości 50-52 MHz?","wyłącznie emisją A1A (telegrafia)","wyłącznie emisją F3E (telefonia z modulacją częstotliwości)","wszystkimi rodzajami emisji z wyjątkiem F3E"
32,"Jakimi rodzajami emisji radiowych i z jaką mocą wolno pracować operatorowi w służbie amatorskiej w zakresie częstotliwości 135,7-137,8 kHz?","wyłącznie emisją A1A (telegrafia) z mocą wyjściową 150 watów","wszystkimi rodzajami emisji z mocą wyjściową 250 watów","wyłącznie emisją A1A (telegrafia) z mocą 1 wat e.i.r.p. (równoważna moc promieniowana izotropowo)"
33,"Jaki dokument określa klasy świadectw operatora radiowego w służbie amatorskiej i wymagania egzaminacyjne na poszczególne klasy świadectw?","rozporządzenie ministra właściwego do spraw cyfryzacji","ustawa Prawo telekomunikacyjne","Krajowa Tablica Przeznaczeń Częstotliwości"
34,"Jak powinien postąpić operator stacji amatorskiej w razie przypadkowego odebrania wiadomości nie przeznaczonej dla służby amatorskiej?","rozpowszechnić odebraną wiadomość w internecie","zachować treść wiadomości w ścisłej tajemnicy","zachować treść wiadomości w ścisłej tajemnicy, zaś w przypadku gdy odebrana wiadomość zawiera istotne dla funkcjonowania Państwa lub porządku publicznego informacje - powiadomić najbliższą jednostkę administracji publicznej"
35,"Jak często operator stacji amatorskiej powinien podawać podczas łączności znak wywoławczy swej stacji?","co pół godziny","tak często, jak jest to w praktyce możliwe, przede wszystkim na początku i końcu łączności","nie musi podawać znaku wywoławczego"
36,"Stacja amatorska oznacza:","urządzenia radiowe nadawcze lub nadawczo-odbiorcze wraz z  systemem albo systemami antenowymi niezbędne do wykonywania w jednej lokalizacji służby radiokomunikacyjnej amatorskiej","Osobę fizyczną, prawną lub jednostkę organizacyjną nieposiadającą osobowości prawnej, której wydano pozwolenie w służbie radiokomunikacyjnej amatorskiej","Lokalizację w której znajdują się urządzenia radiowe nadawcze lub nadawczo-odbiorcze wraz z  systemem albo systemami antenowymi"
37,"Jaką maksymalną mocą może nadawać amatorska stacja bezobsługowa, pracująca w paśmie 10m?","100 W","15 W","50 W"
38,"Czy pozwolenie kategorii 1 może być wydawane fundacjom lub stowarzyszeniom?","tak, pozwolenia kategorii 1 mogą być wydawane osobie prawnej, w tym terenowej jednostce organizacyjnej stowarzyszenia posiadającego osobowość prawną, a także stowarzyszeniu zwykłemu","nie, pozwolenia mogą być wydawane jedynie osobom fizycznym ","tak, pozwolenia kategorii 1 mogą być wydawane fundacjom i stowarzyszeniom posiadającym osobowość prawną"
39,"We wniosku o wydanie pozwolenia radiowego, lokalizację stacji amatorskiej oznaczamy:","za pomocą adresu ","posługując się QTH Locatorem","adresem lub, za pomocą współrzędnych geograficznych"
40,"Czy prowadzenie papierowego dziennika łączności jest obowiązkowe? ","tak, obowiązkowe jest prowadzenie dziennika łączności w formie fizycznego dokumentu","nie, obowiązkowy dziennik łączności może być prowadzony także elektronicznie","nie, dziennik łączności nie jest wymagany "
41,"Jakie należy spełnić warunki aby uzyskać pozwolenie radiowe na używanie stacji amatorskiej?","należy posiadać świadectwo operatora urządzeń radiowych i odbyć trzymiesięczną praktykę na stacji klubowej","należy posiadać świadectwo operatora urządzeń radiowych i co najmniej średnie wykształcenie","należy posiadać świadectwo operatora urządzeń radiowych"
42,"Czy razem ze świadectwem operatora urządzeń radiowych przydzielany jest znak wywoławczy dla stacji amatorskiej?","tak","nie, znak wywoławczy przydzielany jest w pozwoleniu radiowym","tak, jeżeli dana osoba posiada radiostację"
43,"Polski znak wywoławczy stacji radioamatorskiej z pozwoleniem podstawowym składa się z:","prefiksu, cyfry i maksymalnie 4 znaków z czego ostatni musi być literą","prefiksu, dwóch cyfr i sufiksu z maksymalnie 4 znaków","prefiksu, czterech cyfr"
44,"Poprawne literowanie wg alfabetu ITU litery B i F:","Bil, box","bravo, foxtrot","box, Florida"
45,"Poprawne literowanie wg alfabetu ITU litery C i G:","Charlie, golf","Canada, gold","Chile, Grenada"
46,"Poprawne literowanie wg alfabetu ITU litery I i K:","India, Kanada","Italia, Kaz","India, Kilo"
47,"Poprawne literowanie wg alfabetu ITU litery R i V:","Ren, Viktor","Romeo, Viktor","radio, Viola"
48,"Poprawne literowanie wg alfabetu ITU litery X i S:","X-Ray, Sierra","Xsen, Santiago","X-Ray, Syria"
49,"Które prefiksy znaków wywoławczych przeznaczone są dla Polski?","HF, SN, SO, SP, SQ, SR, 3Z","HF, SN, SO, SP, SQ, 3Z, 3X","HA, SM, SO, SP, SQ, SR, 3Z"
50,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 160 m to:","1810 kHz - 1950 kHz","1810 kHz - 2000 kHz","1810 kHz - 1980 kHz"
51,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 80 m to:","3550 kHz - 3750 kHz","3500 kHz - 3750 kHz","3500 kHz - 3800 kHz"
52,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 40 m to:","7000 kHz - 7200 kHz","7100 kHz - 7300 kHz","7050 kHz - 7200 kHz"
53,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 30 m to:","10050 kHz - 10200 kHz","10100 kHz - 10150 kHz","10100 kHz - 10200 kHz"
54,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 20 m to:","14000 kHz - 14350 kHz","14000 kHz - 14450 kHz","14100 kHz - 14350 kHz"
55,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 17 m to:","18050 kHz - 18250 kHz","18068 kHz - 18168 kHz","18000 kHz - 18168 kHz"
56,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 15 m to:","21000 kHz - 21500 kHz","21100 kHz - 21450 kHz","21000 kHz - 21450 kHz"
57,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 12 m to:","24690 kHz - 24990 kHz","24890 kHz - 24990 kHz","24680 kHz - 24990 kHz"
58,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 10 m to:","28500 kHz - 29800 kHz","28000 kHz - 29500 kHz","28000 kHz - 29700 kHz"
59,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 6 m to:","50 MHz - 54 MHz","50 MHz - 52 MHz","50 MHz - 53,5 MHz"
60,"Zakres częstotliwości przeznaczony dla służby amatorskiej w paśmie 2 m to:","144 MHz - 146 MHz","144 MHz - 148 MHz","143 MHz - 146 MHz"
61,"Jaki jest odstęp między częstotliwością nadawczą a odbiorczą przemienników pracujących w paśmie 2 m?","600 kHz","650 kHz","800 kHz"
62,"Prefiks kraju znajduje się ","na początku znaku wywoławczego stacji amatorskiej ","na końcu znaku stacji amatorskiej ","znak nie identyfikuje kraju dlatego musimy posługiwać się tzw callbookiem lub specjalnymi stronami www"
63,"Który z prefiksów nie może być prefiksem znaku wywoławczego stacji polskiego krótkofalowca dla kategorii pozwolenia 1 i 3?","HF","3Z","SR"
64,"Który z prefiksów dotyczy krótkofalowca z Ameryki Północnej?","W","BY","G"
65,"Słyszysz stację z USA, która nadaje na 7220 kHz. Co to oznacza:","stacja nadaje niezgodnie z przepisami","Nie możesz odpowiedzieć na jej wywołanie na 7220 kHz, gdyż ta częstotliwość znajduje się poza pasmem amatorskim w Polsce","ma uszkodzony nadajnik"
66,"Jakiej mocy powinny używać stacje radioamatorskie?","Określonej w pozwoleniu ","Minimalnej, niezbędnej do zapewnienia zadowalającej jakości transmisji, nie większej jednak niż określona w pozwoleniu","Dowolnej, nie większej jednak niż określona w pozwoleniu"
67,"Wyjeżdżasz na kilka dni z Polski do Niemiec. Czy możesz użyć swojej radiostacji, a jeśli tak, to jakiego użyjesz znaku?","Nie możesz","Możesz, poprzedzisz swój własny znak prefiksem DL (właściwym dla kraju CEPT, do którego przyjechałeś)","Możesz, zamieniasz polski prefix na prefix kraju, do którego przyjechałeś"
68,"Które z krajów nie należą do CEPT, ale nadal możesz stamtąd nadawać podczas krótkiej podróży po wypełnieniu rekomendacji T/R 61-01?","Stany Zjednoczone, Kanada, Izrael","Arabia Saudyjska, Bahrajn, Irak","Chiny, Korea Północna, Indie"
69,"Czy na pasmach amatorskich możemy nadawać dowolne treści?","Nie, stacje mają zakaz transmisji sygnałów zbędnych, nieużytecznych, fałszywych lub wprowadzających w błąd ","Tak, jest to przywilej radioamatorów ","Nie, nie można nadawać komercyjnej muzyki oraz transmisji o charakterze religijnym"
