id,pytanie,ilustracja,odpa,odpb,odpc
29,"Mierząc miernikiem napięcie o niemożliwej do oszacowania wartości należy:",,"ustawić miernik na najwyższy zakres pomiarowy i stopniowo zmniejszać zakres","ustawić miernik na najniższy zakres pomiarowy i stopniowo zwiększać zakres","rozpocząć pomiary od środkowego zakresu miernika"
30,"Przygotowując się do wykonania prac pod napięciem, oprócz przygotowania odpowiednich przyrządów należy:",,"sprawdzić czy zastosowano prawidłowe bezpieczniki w mierzonych obwodach","przygotować schemat elektryczny urządzenia i zapoznać się z nim","jak w punkcie A i B oraz zapewnić sobie obecność i ewentualną pomoc drugiej osoby"
31,"Czy w przypadku przepalenia bezpiecznika topikowego, gdy nie mamy pod ręką nowego bezpiecznika, można zastąpić go drutem miedzianym?",,"tak, jeśli w krótkim czasie zostanie wstawiony nowy bezpiecznik","bezwzględnie nie wolno","tak, jeśli drut jest o grubości takiej, jak włókno w spalonym bezpieczniku"
32,"Radiotelefon przenośny UKF podczas nadawania należy trzymać:",,"jak najbliżej ciała","jedną ręką za antenę w celu zwiększenia zasięgu","mikrofonem skierowanym w stronę ust i anteną skierowaną ponad głowę"
33,"Przy wymianie lampy stopnia mocy nadajnika należy:",,"wyłączyć zasilanie i natychmiast przystąpić do wymiany","wyłączyć zasilanie i poczekać aż rozładują się kondensatory zasilacza","przy pracującym wzmacniaczu zdjąć osłonę lampy i przystąpić do jej wymiany"
34,"Najlepszą formą zabezpieczenia anteny krótkofalowej przed burzą jest:",,"odłączenie anteny od radiostacji i wystawienie kabla anteny za okno","odłączenie anteny od radiostacji i połączenie anteny z uziemieniem","nie są wymagane żadne działania"
35,"Czy można umieścić kabel antenowy w kanale wywietrznika kominowego, jeżeli obok przebiega czynny komin?",,"można","bezwzględnie nie można","można, ale tylko w okresie poza sezonem grzewczym"
36,"Czy można używać kołków rozporowych do montażu anteny na kominie?",,"można","można, po spełnieniu dodatkowych warunków","nie wolno, można stosować jedynie opaski wokół komina"
37,"Podczas regulacji urządzeń pod napięciem (o ile jest to konieczne) pracę wykonujemy:",,"dwoma rękoma","jedną ręką","jedną ręką w asyście drugiej osoby, wskazane jest również stosowanie chodnika lub obuwia izolacyjnego"
38,"Jakim przewodem podłączysz nadajnik dużej mocy do źródła zasilania?",,"zwykłym przewodem dwużyłowym","kablem w oplocie bawełnianym","przewodem o przekroju żył, odpowiednim do pobieranej przez urządzenie mocy"
39,"Uszkodzenie ekranu fidera antenowego może prowadzić do:",,"nie prowadzi do żadnych negatywnych skutków","wzrostu zakłóceń, bez względu na pogodę","wzrostu zakłóceń i zmian impedancji kabla grożąca uszkodzeniem nadajnika"
40,"Jak oznacza się odpowiednio - przewód neutralny (N) oraz ochronno-uziemiający (PE) w instalacji elektrycznej?",,"czerwony, czarny","niebieski, żółto-zielony","żółto-zielony, brązowy"
41,"Który z sieciowych przewodów zasilających można podłączyć do obudowy zasilacza:",,"liniowy (fazowy)","neutralny","ochronno-uziemiający"
