id,pytanie,ilustracja,odpa,odpb,odpc
73,"Ferromagnetyki to materiały, których przenikalność magnetyczna jest:",,"większa niż przenikalność magnetyczna powietrza","mniejsza niż przenikalność magnetyczna powietrza","równa przenikalności magnetycznej powietrza"
74,"Czy prędkość fali elektromagnetycznej zależy od ośrodka, w którym się rozchodzi?",,"tak","nie zależy","zależy jedynie od temperatury ośrodka"
75,"Długość fali rozchodzącej się w powietrzu wynosi 1500 metrów. Jaka jest częstotliwość tej fali?",,"2 MHz","200 kHz","233 kHz"
76,"Jaki zakres częstotliwości dźwięków wystarcza dla zrozumiałego nadawania mowy?",,"od 300 Hz do 3 kHz","od 100 Hz do 5 kHz","od 20 Hz do 15 kHz"
77,"Modulacja telegraficzna CW polega na:",,"przerywaniu fali nośnej","zmianie jej częstotliwości","zmianie jej fazy"
78,"Emisja CW jest emisją:",,"wąskopasmową","szerokopasmową","z modulacją fazy"
79,"Powszechnie używana szerokość kanału FM w paśmie 2 m to:",,"12,5 kHz","50 kHz","200 kHz"
80,"Powszechnie używana szerokość kanału przy emisji SSB to:",,"9 kHz","2,7 kHz","1,5 kHz"
81,"Która z podanych mocy PEP odpowiada napięciu maksymalnemu Umax = 100 V, zmierzonemu oscyloskopem na wyjściu nadajnika, na obciążeniu 50Ω ?",,"200 W","100 W","50 W"
82,"Do cewki powietrznej 100 µH wkładamy rdzeń ferrytowy o względnej przenikalności µ = 10. Ile wyniesie indukcyjność cewki?",,"wzrośnie do 1000 µH","nie zmieni się","zmaleje do 10 µH"
83,"Są dwie cewki powietrzne. Przy tej samej średnicy i liczbie zwojów, L1 jest nawinięta drutem dwa razy grubszym niż L2. Która z nich ma większą dobroć Q?",,"cewka L1","cewka L2","obie mają taką samą dobroć, bo mają tą samą średnicę"
84,"Przekładnia transformatora wynosi 20 do 1. Strona pierwotna włączona jest na napięcie sieci 240 V. Jakie napięcie będzie po stronie wtórnej?",,"24 V","12 V","20 V"
85,"Diody prostownicze są stosowane do:",,"do eliminacji tętnień zasilacza","do prostowania prądu w zasilaczach","do stabilizacji napięć"
86,"Diody Zenera to diody służące do:",,"stabilizacji napięć","świecące","na bardzo wysokie częstotliwości"
87,"Warikap to dioda:",,"dioda mikrofalowa","dioda pojemnościowa","dioda stabilizacyjna"
88,"Lampa elektronowa pentoda posiada:",,"pięć elektrod","cztery elektrody","trzy elektrody"
89,"Cztery oporniki o wartościach 5 Ω zostały połączone szeregowo. Ile wynosi oporność zastępcza?",,"10 Ω","20 Ω","40 Ω"
90,"Ile oporników o wartości 200 Ω należy połączyć równolegle by uzyskać sztuczne obciążenie antenowe 50 Ω?",,"5 szt.","2 szt.","4 szt."
91,"Na rysunku przedstawiono schemat prostownika. Jak nazywa się ten rodzaj prostownika?","A_1_091.png","prostownik dwupołówkowy","prostownik jednopołówkowy","prostownik mostkowy dwupołówkowy"
92,"Na rysunku przedstawiono schemat prostownika. Jak nazywa się ten rodzaj prostownika?  ","A_1_092.png","prostownik dwupołówkowy","prostownik jednopołówkowy","prostownik mostkowy dwupołówkowy  "
93,"Wzmacniacz wzmacnia sygnały w zakresie od 100Hz do 10 kHz. Wzmacniacz ten nazywamy wzmacniaczem:",,"niskiej częstotliwości","wzmacniaczem pośredniej częstotliwości","wzmacniaczem selektywnym"
94,"Wzmacniacz jest przesterowany kiedy:",,"ma za duże napięcie zasilania","ma za duże napięcie wejściowe","pracuje w klasie C"
95,"W jakiej klasie powinien pracować wzmacniacz w.cz. do wzmacniania sygnału SSB?",,"w klasie C","w klasie AB","impulsowo"
96,"Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych, ale nieopisanych bloków. Blok 1 to:","A_1_096.png","generator stabilizowany","komparator","dzielnik wzorca"
97,"Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych, ale nieopisanych bloków. Blok 4 to:","A_1_097.png","dzielnik wzorca","generator wzorca","komparator"
98,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 1 to:","A_1_098.png","filtr wejściowy","wzmacniacz akustyczny","detektor AM"
99,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 5 to:","A_1_099.png","heterodyna","wzmacniacz akustyczny","detektor AM"
100,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 1 to:","A_1_100.png","wzmacniacz w.cz.","wzmacniacz akustyczny","detektor AM CW SSB"
101,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 9 to:","A_1_101.png","wzmacniacz akustyczny","wzmacniacz pośredniej cz.","heterodyna"
102,"Na rysunku przedstawiono schemat blokowy odbiornika homodynowego CW i SSB, na jedno pasmo amatorskie. Blok 1 to:","A_1_102.png","filtr wejściowy","wzmacniacz akustyczny","heterodyna"
103,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 2 to:","A_1_103.png","wzmacniacz akustyczny","I mieszacz","wzmacniacz II p.cz."
104,"Jaka powinna być stabilność heterodyny w odbiorniku komunikacyjnym? Częstotliwość heterodyny na najwyższym zakresie po włączeniu odbiornika powinna zmieniać się nie więcej jak:",,"o 200 Hz","o 500 Hz","o 1000 Hz"
105,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na jedno pasmo amatorskie. Blok 4 to:","A_1_105.png","filtr wyjściowy","wzmacniacz mocy (PA)","separator"
106,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na kilka pasm amatorskich z powielaniem częstotliwości. Blok 1 to:","A_1_106.png","wzmacniacz mocy (PA)","oscylator (VFO)","separator"
107,"Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 1 to:","A_1_107.png","wzmacniacz mocy (PA)","oscylator (VFO) 5 - 5,5 MHz","wzbudnica SSB 9 MHz"
108,"Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnic 9 MHz. Blok 2 to:","A_1_108.png","wzmacniacz sterujący","mieszacz","filtr wyjściowy"
109,"Jaka jest horyzontalna charakterystyka promieniowania dipola półfalowego zawieszonego poziomo?",,"dookólna","ósemkowa","kierunkowa w linii zawieszenia"
110,"Jaka jest horyzontalna charakterystyka promieniowania pionowej anteny ćwierćfalowej?",,"dookólna","kierunkowa","w kształcie koniczyny"
111,"Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 1 to:","A_1_111.png","reflektor","wibrator","I direktor"
112,"Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 2 to:","A_1_112.png","wibrator","II direktor","reflektor"
113,"Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 3 to:","A_1_113.png","wibrator","I direktor","II direktor"
114,"Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 4 to:","A_1_114.png","I direktor","II direktor","wibrator"
115,"W jakim przypadku powstaje w linii przesyłowej w.cz. fala stojąca?",,"kiedy kabel nie jest ułożony prosto","kiedy obok kabla koncentrycznego przechodzi inny kabel","kiedy impedancja obciążenia nie jest zgodna z impedancją falową kabla"
116,"Jak nazywa się przyrząd do mierzenia współczynnika fali stojącej?",,"rezystomierz","reflektometr","refraktometr"
117,"Reflektometr wskazuje, że amplituda fali padającej jest równa amplitudzie fali odbitej. Współczynnik fali stojącej równy jest nieskończoności. Co może być przyczyną takiego stanu?",,"zwarcie lub przerwa w kablu","niewielka zmiana oporności falowej anteny","zamoczenie izolacji w kablu"
118,"Niesymetryczny kabel koncentryczny 50 om do symetrycznej anteny o oporności falowej 50Ω najlepiej połączyć za pomocą:",,"ununa 9:1","baluna 1:1 (symetryzatora)","baluna 1:2"
119,"Czy stan jonosfery ma wpływ na rozchodzenie się fal krótkich?",,"słaby","tylko okresowo, w dzień","ma bardzo duży wpływ"
120,"Około 11-letnie cykle zmian propagacji związane są z:",,"cyklem słonecznym","cyklem przebiegunowania Ziemi","fluktuacjami średniego poziomu morza"
121,"Co to jest zasięg horyzontalny na UKF?",,"zasięg wyznaczony linią horyzontu radiowego","zasięg obliczony z mocy promieniowanej e.i.r.p.","zasięg teoretyczny nadajnika"
122,"Dalekie rozchodzenie się fal UKF podczas inwersji temperaturowej zawdzięczamy:",,"wielokrotnemu odbijaniu się fal od ciepłej ziemi","odbijaniu się fal radiowych od podstawy chmur wysokich","prowadzeniu fal przez dukty powstałe z warstw ciepłego i zimnego powietrza"
123,"Skrót EME oznacza łączności:",,"z wykorzystaniem odbicia sygnału od Księżyca","wykorzystaniem do łączności siły elektromotorycznej SEM","za pomocą elektromagnetycznej emisji EME na UKF"
124,"Jak w warunkach amatorskich zmierzyć moc wyjściową nadajnika?",,"poprzez pomiar napięcia za pomocą sondy w.cz. na oporze sztucznej anteny 50 om i obliczenie","poprzez pomiar prądu i napięcia stałego doprowadzonego do stopnia mocy (PA)","poprzez uzyskanie raportu od korespondenta"
125,"Jakim przyrządem mierzymy dopasowanie anteny do nadajnika?",,"żarówką włączoną w szereg na maksimum świecenia","sprawdzeniem czy kabel się nie grzeje","za pomocą reflektometru"
126,"Jak zwalczyć zakłócenia rozprowadzane siecią energetyczną?",,"przez stosowanie grubych przewodów","przez stosowanie filtrów sieciowych, ekranowanie urządzeń i odpowiednią konstrukcję urządzeń","przez zastosowanie zabezpieczenia różnicowoprądowego"
127,"Jeżeli nadajnik amatorski powoduje zakłócenia, to jakie elementy sprawdzamy w pierwszej kolejności?",,"prawidłowe działanie mikrofonu","blokadę szumów odbiornika","liniowość stopnia mocy (PA), filtr wyjściowy, uziemienie radiostacji"
128,"Jeżeli nadajnik promieniuje energię w.cz. poprzez sieć zasilającą to stosujemy:",,"filtr w.cz. na wyjściu antenowym nadajnika","dławnicę kablową","uziemiamy obudowę i włączamy filtr sieciowy w zasilanie"
129,"Jaka instytucja zajmuje się lokalizowaniem zakłóceń radiowych i radioelektrycznych oraz badaniem sprzętu radionadawczego?",,"Urząd Komunikacji Elektronicznej","Ministerstwo Ochrony Środowiska","sztaby antykryzysowe"
130,"W obwodzie prądu stałego przez opornik 1000 Ω płynie prąd 2 mA. Jaki jest spadek napięcia na oporze?",,"spadek wynosi 500 V","spadek wynosi 2000 V","spadek wynosi 2 V"
131,"Akumulator ma napięcie 6,5 V. Do akumulatora chcemy podłączyć żarówkę 3,5 V 0,3 A. Jaki opornik należy włączyć w szereg by ograniczyć prąd?",,"opornik 3,5 Ω","opornik 100 Ω","opornik 10 Ω"
132,"Opornik ma 200 Ω. Płynie przez niego prąd 300 mA. Jaka jest moc tracona w oporze?",,"18 W","1800 W","1,8 W"
133,"Jakie napięcie występuje na oporze 50 Ω przy dostarczeniu do niego mocy 200 W?",,"100 V","200 V","50 V"
134,"Mamy opornik 100 Ω dołączony do napięcia 3 V. Z jakiej grupy mocy wybierzemy opornik?",,"grupa 1 W","grupa 0,125 W","grupa 0,5 W"
135,"Jaka jest częstotliwość prądu zmiennego, którego okres wynosi 0,02 s?",,"100 Hz","50 Hz","60 Hz"
136,"Wartość amplitudy napięcia sinusoidalnego wynosi 200 V. Jaka jest wartość skuteczna napięcia?",,"200 V","400 V","141,4 V"
137,"Napięcie międzyszczytowe sinusoidalnego prądu zmiennego wynosi 678 V. Ile wynosi wartość skuteczna tego napięcia?",,"340 V","240 V","680 V"
138,"Siła elektromotoryczna ogniwa wynosi 1,5 V. Oporność wewnętrzna ogniwa wynosi 0,1Ω. Z ogniwa pobieramy prąd 1 A. Jakie będzie napięcie na zaciskach ogniwa?",,"1,5 V","1 V","1,4 V"
139,"Pole elektryczne może być ekranowane za pomocą:",,"ekranów z blach","ekranów z izolatorów","ekranów z włókna szklanego"
140,"Dlaczego rdzenie transformatorów wykonywane są z blaszek?",,"ze względu na lepsze chłodzenie","ze względu na łatwiejsze wykonanie","ze względu na mniejsze straty wynikające z prądów wirowych"
141,"Fala elektromagnetyczna ma dwie składowe. Zaznacz która kombinacja jest poprawna:",,"składowa elektryczna i składowa prędkości","składowa elektryczna i składowa magnetyczna","składowa magnetyczna i składowa prędkości"
142,"Częstotliwość pracy nadajnika amatorskiego wynosi 3,5714 MHz. Jaka jest przybliżona długość fali tego nadajnika?",,"80 m","40 m","20 m"
143,"Czy czysty sygnał sinusoidalny 1000 Hz zawiera harmoniczne 2000 Hz i 3000 Hz?",,"zawiera tylko 2000 Hz","zawiera obie harmoniczne","nie zawiera w ogóle harmonicznych"
144,"Przy modulacji amplitudy AM szerokość kanału radiowego zależy od:",,"najniższych częstotliwości modulujących","amplitudy modulującego sygnału","najwyższych częstotliwości modulujących"
145,"Modulacja FSK oznacza:",,"modulację amplitudy","modulację fazy","modulację z przesuwem częstotliwości"
146,"Moc wyjściową nadajnika FM podano w dBm i wynosi ona 33 dBm. Ile to jest w watach? (dla ułatwienia podajemy, że 30 dBm odpowiada 1 W)",,"2 W","130 W","20 W"
147,"Napięcie na wejściu odbiornika o oporności 50 om wynosi 10 µV. Napięcie to wzrosło do 100 µV. O ile wzrosło napięcie wyrażone w dB?",,"o 10 dB","o 20 dB","o 40 dB"
148,"Zasilacz nadajnika dostarcza do stopnia końcowego nadajnika napięcie 20 V i prąd 5 A. Jaka jest sprawność energetyczna stopnia końcowego w %, jeżeli na wyjściu zmierzyliśmy moc PEP = 40 W?",,"50 %","40 %","60 %"
