id,pytanie,ilustracja,odpa,odpb,odpc
24,Jak przebiegają linie pola magnetycznego wytworzonego przez przewodnik z prądem?,,są równolegle do osi przewodu,przewodnik z prądem wytwarza tylko pole elektryczne,są równoległe do poweirzchni przewodnika i prostopadłe do jego osi
25,Niedopasowanie anteny do linii transmisyjnej powoduje powstanie fali stojącej i w konsekwencji:,,odbicia sygnału od miejsca niedopasowania i straty w linii transmisyjnej,może spowodować spalenie anteny,drgania fidera
26,Nadajnik o mocy wyjściowej 100 W pobiera z zasilacza 280 W. Jego sprawność wynosi około:,,36%,64%,280%
27,"Rozdzielczość bitowa przetwornika ADC wpływa na: ",,zakres dynamiki,szybkość próbkowania,pasmo przenoszenia
28,Transformator sieciowy na napięcie 230V dostarcza po stronie wtórnej napięcia 23V przy maksymalnym prądzie 10A. Jakiego prądu można się spodziewać po stronie pierwotnej transformatora?,,2 A,1 A,10 A
29,Szeregowy obwód rezonansowy LC połączony w szereg z obciążeniem stanowi:,,filtr pasmowoprzepustowy,filtr pasmowozaporowy,filtr IIR
30,Wzmacniacz pracujący w której klasie działa najbardziej liniowo oraz wprowadza najmniejsze zniekształcenia?:,,A,B,C
31,W jakim celu używana jest automatyczna kontrola poziomu (ALC) we wzmacniaczu mocy RF?,,aby zrównoważyć charakterystykę częstotliwościową nadajnika,aby zredukować promieniowanie harmonicznych,aby zmniejszyć zniekształcenia spowodowane nadmiernym wysterowaniem
32,Efektem mieszania dwóch sygnałów o częstotliwościach: 5 MHz i 2 MHz jest:,,sygnał o częstotliwości 3 MHz,sygnał o częstotliwości 7 MHz,dwa sygnały o częstotliwości 3 MHz i 7 MHz
33,"Który termin opisuje zdolność odbiornika do wyodrębnienia spośród różnych sygnałów doprowadzonych do wejścia odbiornika tylko sygnału o takiej częstotliwości, na którą jest nastrojony:",,współczynnik dyskryminacji,czułość,selektywność
34,"Pewien ręczny radiotelefon VHF/UHF pozbawiony jest filtrów pasmowych w torze wejściowym. Podczas aktywacji jednego ze szczytów w ramach programu SOTA okazało się, że nie można odebrać sygnałów korespondentów, pomimo wykorzystania dobrej anteny dookólnej. Czym może być spowodowane to zjawisko?",,rozpraszaniem sygnału na śladach jonizacyjnych meteorów (meteor scatter),zmniejszeniem czułości odbiornika przez mocny sygnał nadajnika rozgłośni radiowej na sąsiedniej górze,silnymi podmuchami wiatru
35,"Czy antena typu delta, o długości promiennika ~41 m będzie poprawnie działała w paśmie 20 m?",,"nIe, to jest antena jednopasmowa","tak, atena typu delta stroi się na kolejnych harmonicznych","tak, ale tylko jako odbiorcza"
36,Co stanie się kiedy nasz korespondent w paśmie 70 cm używa anteny o odmiennej polaryzacji niż nasza?,,wstęgi boczne modulacji mogą zostać odwrócone,sygnały mogą być znacznie słabsze,słyszymy efekt echa na sygnale
37,Co oznacza pojęcie „stosunek przód-tył” w odniesieniu do anteny Yagi-Uda?,,stosunek liczby direktorów do reflektorów,stosunek mocy wypromieniowanej w kierunku głównego listka promieniowania do kierunku przeciwnego,stosunek mocy wypromieniowanej w przód anteny do dipola półfalowego
38,Jakie znaczenie ma liczba plam słonecznych w odniesieniu do propagacji KF?,,wyższa liczba plam słonecznych generalnie wskazuje na większe prawdopodobieństwo dobrej propagacji na wyższych częstotliwościach,niższa liczba plam słonecznych ogólnie wskazuje na większe prawdopodobieństwo wystąpienia sporadycznej propagacji przez warstwę E.,"zerowa liczba plam słonecznych oznacza, że propagacja radiowa nie jest możliwa w żadnym paśmie"
39,Co oznacza skrót MUF?,,minimalna użyteczna częstotliwość dla komunikacji między dwoma punktami,maksymalna użyteczna częstotliwość do komunikacji między dwoma punktami,minimalna użyteczna częstotliwość na następne 24 godziny
40,"Ile mocy zostaje wypromieniowane przez antenę, jeśli miernik mocy podłączony pomiędzy nadajnik a antenę  wskazuje 100 W mocy padającej i 30 W mocy odbitej?",,130 W,70 W,30 W
41,Jaka jest przewaga wektorowego analizatora antenowego (VNA) nad miernikiem SWR (reflektometrem)?,,miernik SWR wymaga określonej częstotliwości do działania,analizator nie potrzebuje dodatkowego zasilania zasilając się z sygnały w.cz z nadajnika,analizator jest w stanie wykazać składową indukcyjną lub pojemnościową badanej anteny oraz określić miejsce rezonansu
42,Co jest jednostką impedancji?,,farad,om,herc
43,Czy opór elektryczny przewodu zależy od materiału z którego jest wykonany?,,zależy,nie zależy,zależy od izolacji przewodu
44,Izolatorami nazywamy materiały które:,,nie przewodzą prądu elektrycznego,przewodzą słabo,przewodzą prąd przy wysokim napięciu
45,Który przewód o tej samej długości i przekroju będzie miał najmniejszą oporność?,,wykonany z aluminium,wykonany z żelaza,wykonany z miedzi
46,Który z materiałów ma własności półprzewodnikowe?,,złoto,german,platyna
47,"Żarówka 12 V pobiera z baterii 0,1 A. Jaką oporność ma żarówka?",,oporność 120 Ω,oporność 12 Ω,"oporność 1,2 Ω"
48,Żarówka ma moc 24 W i pobiera z akumulatora 2 A. Jakie jest napięcie akumulatora?,,napięcie wynosi 24 V,napięcie wynosi 12 V,napięcie wynosi 48 V
49,"Ferromagnetyki to materiały, których przenikalność magnetyczna jest:",,większa niż przenikalność magnetyczna powietrza,mniejsza niż przenikalność magnetyczna powietrza,równa przenikalności magnetycznej powietrza
50,"Czy prędkość fali elektromagnetycznej zależy od ośrodka, w którym się rozchodzi?",,tak,nie zależy,zależy jedynie od temperatury ośrodka
51,Długość fali elektromagnetycznej rozchodzącej się w powietrzu wynosi 1500 metrów. Jaka jest częstotliwość tej fali?,,2 MHz,200 kHz,233 kHz
52,Jaki minimalny zakres częstotliwości dźwięków wystarcza dla zrozumiałego nadawania mowy?,,od 300 Hz do 3 kHz,od 100 Hz do 5 kHz,od 20 Hz do 15 kHz
53,Modulacja telegraficzna CW polega na:,,przerywaniu fali nośnej,zmianie jej częstotliwości,zmianie jej fazy
54,Emisja CW jest emisją:,,wąskopasmową,szerokopasmową,z modulacją fazy
55,Powszechnie używana szerokość kanału FM w paśmie 2 m to:,,"12,5 kHz",50 kHz,200 kHz
56,Powszechnie używana szerokość kanału przy emisji SSB to:,,9 kHz,"2,7 kHz","1,5 kHz"
57,"Która z podanych mocy PEP odpowiada napięciu maksymalnemu Umax = 100 V, zmierzonemu oscyloskopem na wyjściu nadajnika, na obciążeniu 50Ω ?",,200 W,100 W,50 W
58,Przekładnia transformatora wynosi 20 do 1. Strona pierwotna włączona jest na napięcie sieci 240 V. Jakie napięcie będzie po stronie wtórnej?,,24 V,12 V,20 V
59,Diody prostownicze są stosowane do:,,do eliminacji tętnień zasilacza,do prostowania prądu w zasilaczach,do stabilizacji napięć
60,Diody Zenera to diody:,,służące do stabilizacji napięć,świecące,na bardzo wysokie częstotliwości
61,Lampa elektronowa pentoda posiada:,,pięć elektrod,cztery elektrody,trzy elektrody
62,Cztery oporniki o wartościach 5 Ω zostały połączone szeregowo. Ile wynosi oporność zastępcza?,,10 Ω,20 Ω,40 Ω
63,Ile oporników bezindukcyjnych o wartości 200 Ω należy połączyć równolegle by uzyskać sztuczne obciążenie antenowe 50 Ω?,,5 szt.,2 szt.,4 szt.
64,Na rysunku przedstawiono schemat prostownika. Jak nazywa się ten rodzaj prostownika?,C_1_74.png,prostownik dwupołówkowy,prostownik jednopołówkowy,prostownik mostkowy dwupołówkowy
65,"Na rysunku przedstawiono schemat prostownika. Jak nazywa się ten rodzaj prostownika?  ",C_1_75.png,prostownik dwupołówkowy,prostownik jednopołówkowy,"prostownik mostkowy dwupołówkowy  "
66,Wzmacniacz wzmacnia sygnały w zakresie od 100Hz do 10 kHz. Wzmacniacz ten nazywamy wzmacniaczem:,,niskiej częstotliwości,wzmacniaczem pośredniej częstotliwości,wzmacniaczem selektywnym
67,Wzmacniacz jest przesterowany kiedy:,,ma za duże napięcie zasilania,ma za duże napięcie wejściowe,pracuje w klasie C
68,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 1 to:",C_1_78.png,wzmacniacz w.cz.,wzmacniacz akustyczny,detektor AM CW SSB
69,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 9 to:",C_1_79.png,wzmacniacz akustyczny,wzmacniacz pośredniej cz.,heterodyna
70,Jaka jest horyzontalna charakterystyka promieniowania dipola półfalowego zawieszonego poziomo?,,dookólna,ósemkowa,kierunkowa w linii zawieszenia
71,Jaka jest horyzontalna charakterystyka promieniowania pionowej anteny ćwierćfalowej?,,dookólna,kierunkowa,w kształcie koniczyny
72,Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 1 to:,C_1_82.png,reflektor,wibrator,I direktor
73,Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 2 to:,C_1_83.png,wibrator,II direktor,reflektor
74,Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 3 to:,C_1_84.png,wibrator,I direktor,II direktor
75,Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 4 to:,C_1_85.png,I direktor,II direktor,wibrator
76,W jakim przypadku powstaje w linii przesyłowej w.cz. fala stojąca?,,kiedy kabel nie jest ułożony prosto,kiedy obok kabla koncentrycznego przechodzi inny kabel,kiedy impedancja obciążenia nie jest zgodna z impedancją falową kabla
77,Jak nazywa się przyrząd do pomiaru współczynnika fali stojącej?,,rezystomierz,reflektometr,refraktometr
78,"Reflektometr wskazuje, że amplituda fali padającej jest równa amplitudzie fali odbitej. Współczynnik fali stojącej równy jest nieskończoności. Co może być przyczyną takiego stanu?",,zwarcie lub przerwa w kablu,niewielka zmiana oporności falowej anteny,zamoczenie izolacji w kablu
79,Niesymetryczny kabel koncentryczny 50 om do symetrycznej anteny o oporności falowej 50Ω najlepiej połączyć za pomocą:,,ununa 9:1,baluna 1:1 (symetryzatora),baluna 1:2
80,Czy stan jonosfery ma wpływ na rozchodzenie się fal krótkich?,,słaby,"tylko okresowo, w dzień",ma bardzo duży wpływ
81,Około 11-letnie cykle zmian propagacji związane są z:,,cyklem słonecznym,cyklem przebiegunowania Ziemi,fluktuacjami średniego poziomu morza
82,Co to jest zasięg horyzontalny na UKF?,,zasięg wyznaczony linią horyzontu radiowego,zasięg obliczony z mocy promieniowanej e.i.r.p.,zasięg teoretyczny nadajnika
83,Dalekie rozchodzenie się fal UKF podczas inwersji temperaturowej zawdzięczamy:,,wielokrotnemu odbijaniu się fal od ciepłej ziemi,odbijaniu się fal radiowych od podstawy chmur wysokich,prowadzeniu fal przez dukty powstałe z warstw ciepłego i zimnego powietrza
84,Skrót EME oznacza łączności:,,z wykorzystaniem odbicia sygnału od Księżyca,wykorzystaniem do łączności siły elektromotorycznej SEM,za pomocą elektromagnetycznej emisji EME na UKF
85,Jak w warunkach amatorskich zmierzyć moc wyjściową nadajnika?,,poprzez pomiar napięcia za pomocą sondy w.cz. na oporze sztucznej anteny 50 om i obliczenie,poprzez pomiar prądu i napięcia stałego doprowadzonego do stopnia mocy (PA),poprzez uzyskanie raportu od korespondenta
86,Jakim przyrządem mierzymy dopasowanie anteny do nadajnika?,,miernikiem zniekształceń nieliniowych,sprawdzeniem czy kabel się nie grzeje,za pomocą reflektometru
87,Jeżeli nadajnik promieniuje energię w.cz. poprzez sieć zasilającą to stosujemy:,,filtr w.cz. na wyjściu antenowym nadajnika,dławnicę kablową,uziemiamy obudowę i włączamy filtr sieciowy w zasilanie
88,Jaka instytucja zajmuje się lokalizowaniem zakłóceń radiowych i radioelektrycznych oraz badaniem sprzętu radionadawczego?,,Urząd Komunikacji Elektronicznej,Ministerstwo Ochrony Środowiska,sztaby antykryzysowe
89,W obwodzie prądu stałego przez opornik 1000 Ω płynie prąd 2 mA. Jaki jest spadek napięcia na oporze?,,spadek wynosi 500 V,spadek wynosi 2000 V,spadek wynosi 2 V
90,"Akumulator ma napięcie 6,5 V. Do akumulatora chcemy podłączyć żarówkę 3,5 V 0,3 A. Jaki opornik należy włączyć w szereg by ograniczyć prąd?",,"opornik 3,5 Ω",opornik 100 Ω,opornik 10 Ω
91,Opornik ma 200 Ω. Płynie przez niego prąd 300 mA. Jaka jest moc tracona w oporze?,,18 W,1800 W,"1,8 W"
92,Jakie napięcie występuje na oporze 50 Ω przy dostarczeniu do niego mocy 200 W?,,100 V,200 V,50 V
93,Dobierz optymalnie moc nominalną (znamionową) rezystora 100 Ω w przypadku w którym płynący przez niego prąd wywołuje na nim spadek napięcia 3V.,,1 W,"0,125 W","0,5 W"
94,"Jaka jest częstotliwość prądu zmiennego, którego okres wynosi 0,02 s?",,100 Hz,50 Hz,60 Hz
95,Napięcie międzyszczytowe sinusoidalnego prądu zmiennego wynosi 678 V. Ile wynosi wartość skuteczna tego napięcia?,,340 V,240 V,680 V
96,Pole elektryczne może być ekranowane za pomocą:,,ekranów z blach,ekranów z izolatorów,ekranów z włókna szklanego
97,Fala elektromagnetyczna ma dwie składowe. Zaznacz która kombinacja jest poprawna:,,składowa elektryczna i składowa prędkości,składowa elektryczna i magnetyczna,składowa magnetyczna i składowa prędkości
98,"Częstotliwość pracy nadajnika amatorskiego wynosi 3,5714 MHz. Jaka jest przybliżona długość fali tego nadajnika?",,80 m,40 m,20 m
99,"Czy czysty sygnał sinusoidalny 1000 Hz, zawiera harmoniczne 2000 Hz i 3000 Hz?",,zawiera tylko 2000 Hz,zawiera obie harmoniczne,nie zawiera w ogóle harmonicznych
100,Przy modulacji amplitudy AM szerokość kanału radiowego zależy od:,,najniższych częstotliwości modulujących,amplitudy modulującego sygnału,najwyższych częstotliwości modulujących
101,Modulacja FSK oznacza:,,modulację amplitudy,modulację fazy,modulację z przesuwem częstotliwości
102,"Moc wyjściową nadajnika FM podano w dBm i wynosi ona 33 dBm. Ile to jest w watach? (dla ułatwienia podajemy, że 30 dBm odpowiada 1 W)",,2 W,130 W,20 W
103,Zasilacz nadajnika dostarcza do stopnia końcowego nadajnika napięcie 20 V i prąd 5 A. Jaka jest sprawność energetyczna stopnia końcowego w % jeżeli na wyjściu zmierzyliśmy moc PEP = 40 W?,,50 %,40 %,60 %
104,Tolerancja wykonania opornika 1 kΩ wynosi 5 %. W jakich granicach zawiera się jego oporność?,,"od 0,9 do 1,1 kΩ","od 0,98 do 1,02 kΩ",od 950 om do 1050 Ω
105,"Spadek napięcia na oporniku wynosi 100 V, przy prądzie 10 mA. Opornik jakiej mocy zastosujemy w tym miejscu?",,10 W,1 W,"0,5 W"
106,"Kondensator mikowy ma pojemność 6800 pF, i napięcie pracy 500V. Czy można go zastosować w miejsce kondensatora 6,8 nF o napięciu pracy 250 V?",,"tak, można",nie można,"można, ale potrzebne są dwa takie kondensatory"
107,W obwodzie prądu zmiennego przy tej samej częstotliwości zmieniono kondensator 2200 pF na 22 nF. Ile razy zmniejszyła się reaktancja Xc?,,2 razy,100 razy,10 razy
108,Tranzystor krzemowy ma wzmocnienie prądowe β = 100. Napięcie zasilania wynosi 5 V. Przez kolektor tego tranzystora płynie prąd 100 mA. Jaki jest prąd bazy tego tranzystora?,,1 mA,5 mA,20 mA
109,"Mamy dwa kondensatory o pojemności jeden 4,7 nF a drugi 300 pF. Jak należy je połączyć by uzyskać pojemność 5000 pF?",,szeregowo,równolegle,nie da się z nich złożyć 5000 pF
110,"W układzie były trzy kondensatory po 30 µF połączone szeregowo . Każdy z nich ma napięcie pracy 100V. Czy możemy je zastąpić jednym kondensatorem 10 µF, jeśli tak, to jakie musi mieć napięcie pracy?",,nie możemy,możemy stosując kondensator na napięcie 100 V,"możemy, stosując kondensator na napięcie 300 V"
111,Dwie indukcyjności nie sprzężone mają 30 µH i 60 µH. Ile wynosi indukcyjność zastępcza przy połączeniu szeregowym tych indukcyjności?,,90 µH,20 µH,45 µH
112,Dwa oporniki 1 kΩ połączone są w szereg i dołączone do napięcia 200 V. Jaki jest spadek napięcia na każdym z tych oporników?,,50 V,100 V,200 V
113,Na rysunku przedstawiono schemat prostownika. Jak nazywa się ten rodzaj prostownika?,C_1_125.png,prostownik dwupołówkowy,prostownik jednopołówkowy,prostownik mostkowy dwupołówkowy
114,"Napięcie na wyjściu zasilacza nieobciążonego z filtrem pojemnościowym, wynosi 25 V. Jakie jest napięcie Usk transformatora zasilającego diody?",,25 V,"17,7 V",20 V
115,Wzmacniacz posiada wzmocnienie napięciowe 10 razy. Wyraź to wzmocnienie w decybelach (dB),,10 dB,20 dB,40 dB
116,W tranzystorowym wzmacniaczu mocy który element jest niezbędny aby nie generować zakłóceń harmonicznych?,,filtr dolnoprzepustowy,przełącznik nadawanie-odbiór,układ dopasowania bazy tranzystora
117,Dlaczego do detekcji sygnałów telegrafii CW używamy pomocniczego generatora BFO?,,bo sygnał CW jest przerywany,musimy wytworzyć słyszalne dudnienia z niemodulowanym sygnałem CW,bo sygnał CW jest słaby
118,"Jak zmienia się impedancja dipola półfalowego, gdy obniżamy wysokość jego zawieszenia?",,rośnie.,maleje.,nie ulega zmianie.
119,Zysk anteny kierunkowej wyrażony jest w dBi. Względem jakiego źródła jest określony?,,dipola pomiarowego,źródła izotropowego,innej anteny kierunkowej
120,"Antena kierunkowa daje napięcie 4 razy większe, niż dipol półfalowy zawieszony w tym samym miejscu. Jaki zysk ma antena kierunkowa?",,6 dBd,4 dBd,12 dBd
121,"Kabel koncentryczny o długości 100m, przy częstotliwości 144MHz wprowadza tłumienie 12dB. Długość kabla pomiędzy nadajnikiem 100 W a anteną wynosi 50 m. Jaka część tej mocy zostanie doprowadzona do anteny?",,25%,50%,75%
122,Jakie długości fal zaliczamy do zakresu fal krótkich?,,od 100 m do 10 m,od 80 m do 10 m,od 160 m do 10 m
123,O czym mówi podawana w prognozach propagacji częstotliwość MUF?,,o zakłóceniach odbioru,o maksymalnej częstotliwości do łączności na danej trasie,o zaniku łączności w danym kierunku
124,Co to jest strefa martwa na falach krótkich?,,strefa bez odbioru leżąca pomiędzy końcem fali przyziemnej a powrotem fali odbitej od jonosfery,strefa bez odbioru z powodu dużych zakłóceń w mieście,strefa w której brak odbioru z powodu interferencji fal przychodzących z różnych kierunków
125,Jakim przyrządem możemy sprawdzić kształt napięcia zmiennego w.cz. i wykryć zniekształcenia sygnału?,,oscyloskopem,miernikiem napięcia,słuchając odbiornikiem
126,"Akumulator ma pojemność 20Ah i pozwala na pracę pełną mocą radiostacji, która pobiera średnio około 5A. Czy taki akumulator wystarczy na trzygodzinną pracę tej radiostacji?",,"wystarczy, z pewnym zapasem","nie wystarczy, akumulator ma zbyt małą pojemność",akumulator ulegnie uszkodzeniu
127,Jakie typowo przyjmuje się pasmo częstotliwości przy transmisjach głosowych na pasmach amatorskich:,,od 300 Hz do 3 kHz,od 20 Hz do 20 kHz,od 400 Hz do 900 Hz
128,Dlaczego modulacja amplitudy AM (A3E) jest obecnie rzadziej używana od SSB (J3E)?,,gdyż ma znacznie mniejszą sprawność energetyczną i szerokość emitowanego sygnału jest dwukrotnie większa niż SSB,"gdyż obecne transceivery są zbyt skomplikowane, by z niej sprawnie korzystać","dlatego, że AM jest używana w profesjonalnej radiofonii"
129,"Wzmacniacz, który wzmacnia sygnały w zakresie pasm amatorskich 3,5;7;14 MHz z takim samym wzmocnieniem nazywamy:",,wzmacniaczem mocy,wzmacniaczem szerokopasmowym,wzmacniaczem ze strojonymi obwodami pośredniej częstotliwości
130,Wzmacniacz w klasie C nie może być używany do:,,"fali nośnej, sygnałów modulacji częstotliwości",sygnałów jednowstęgowych (J3E),"może być używany wszędzie, gdyż ma wyższą sprawność"
131,Generator BFO jest niezbędny do odbioru:,,sygnałów modulacji częstotliwości (F3E),sygnałów modulacji amplitudy z pełną falą nośną (A3E),sygnałów telegraficznych (A1) i modulacji amplitudy ze zredukowaną falą nośną (J3E)
132,Który z czynników wpływa na stabilność generatora z obwodem LC:,,temperatura,zmiana wymiarów mechanicznych,oba wyżej wymienione
133,Na wyświetlaczu radiostacji z prezentacją widma można obserwować:,,częstotliwość i amplitudę sygnału,amplitudę i fazę sygnału,częstotliwość i opóźnienie
134,"Początkujący krótkofalowiec sfrustrował się brakiem stacji w paśmie 24 MHz. Opiekun stacji klubowej zalecił mu przejście na ""niższe"" pasmo. Które pasmo powinien wybrać? ",,"10 m ","12 m ",20 m
135,"Jeżeli składowa elektryczna fali jest prostopadła do ziemi, to fala ma polaryzację:",,poziomą,pionową,nie da się tego stwierdzić bez znajomości ułożenia składowej magnetycznej
136,Wartość amplitudy napięcia sinusoidalnego wynosi 200 V. Jaka jest wartość skuteczna tego napięcia?,,"282,84 V","115,6 V","141,4 V"
137,"Częstotliwość prądu przemiennego wynosi 50 Hz, jaki jest okres drgań?",,20 ms,50 ms,500 ms
138,"W zbudowanym wzmacniaczu m.cz. słychać dokuczliwe zakłócenia od pobliskich telefonów komórkowych. Co można zrobić, by te zakłócenia zmniejszyć:",,"nic nie można zrobić, zakłócenia już takie są",zaekranować stopień wejściowy tego wzmacniacza,"zwiększyć napięcie zasilania, by stosunek sygnał/zakłócenia był korzystniejszy"
139,W emisji RTTY używane jest:,,kluczowanie amplitudy,kluczowanie fazy,kluczowanie częstotliwości
140,"Zasilacz dostarcza do stopnia końcowego nadajnika napięcie 500 V i prąd 200 mA. Jaka jest sprawność energetyczna stopnia końcowego, jeżeli na wyjściu zmierzyliśmy moc PEP = 40 W?",,50%,40%,60%
141,"Która z podanych mocy PEP odpowiada napięciu maksymalnemu Umax = 100 V, zmierzonemu oscyloskopem na wyjściu nadajnika, na obciążeniu 50 omów (zakładamy sygnał sinusoidalny)?",,200 W,100 W,50 W
142,"W przetwornikach analogowo-cyfrowych, aby poprawnie odczytać sygnał wejściowy, częstotliwość próbkowania musi być:",,większa lub równa dwukrotności najwyższej częstotliwości przetwarzanego sygnału,większa lub równa najwyższej częstotliwości przetwarzanego sygnału,większa lub równa połowie najwyższej częstotliwości przetwarzanego sygnału
143,"Rezystor o wartości 10 Ω dołączono do napięcia 3 V. Jakiej mocy rezystor należy dobrać, żeby nie uległ on uszkodzeniu?",,1 W,"0,125 W","0,5 W"
144,W kondensatorze energia jest magazynowana w:,,polu elektrycznym,polu magnetycznym,nie jest magazynowana
145,"W obwodzie prądu przemiennego, przy tej samej częstotliwości, zmieniono kondensator 2200 pF na 22 nF. Ile razy zmniejszyła się reaktancja kondensatora?",,"0,1 raza",100 razy,10 razy
146,"Do budowy cewek często wykorzystujemy rdzenie toroidalne, ponieważ:",,wprowadzają mniejsze straty w polu magnetycznym niż powietrze,można przez cewkę przesłać znacznie większy prąd,większość pola magnetycznego zamyka się w rdzeniu i cewka mniej wpływa na inne elementy
147,"Są dwie cewki powietrzne. Przy tej samej średnicy i liczbie zwojów, L1 jest nawinięta drutem dwa razy grubszym niż L2. Która z nich ma większą dobroć Q?",,cewka L2,cewka L1,"obie mają taką samą dobroć, bo mają tę samą średnicę i ilość zwojów"
148,"Krótkofalowiec zbudował skrzynkę antenową, ale przy pracy z tą skrzynką obserwuje słabe świecenie niezasilanej świetlówki, które nie występuje po odłączeniu skrzynki. Co może wykonać, by to zjawisko wyeliminować?",,"wprowadzić ekranowanie skrzynki, na przykład w postaci szczelnej, metalowej obudowy",poprawić dopasowanie stopnia końcowego,wymienić zasilacz sieciowy
149,Warikap to:,,dioda mikrofalowa,dioda pojemnościowa,dioda stabilizacyjna
150,Zasadniczymi zaletami diody TVS (Transil) są:,,szybkie przełączanie i rozpraszanie dużych chwilowych mocy,spadek napięcia rzędu 1 mV i bardzo mała pojemność złącza,dodatkowy zacisk sterujący i liniowa charakterystyka prądowo-napięciowa
151,Na wyjściu transformatora sieciowego napięcie skuteczne jest równe 300 V. Czy w prostowniku jednopołówkowym można użyć diody wytrzymującej napięcie wsteczne 400 V?,,tak,nie,"tak, ale tylko przy małych obciążeniach"
152,Tranzystory bipolarne i polowe sterujemy odpowiednio:,,napięciem i prądem,prądem i prądem,prądem i napięciem
